NEQ,RBQ,CTQ
1140032419,No,Yes
1140032435,Yes,Yes
1140033078,Yes,Yes
1140035735,Yes,No
1140036808,Yes,No
1140020752,Yes,No
1140025322,Yes,No
1140028540,Yes,No
1140050999,Yes,No
1140051310,Yes,No
1140044877,Yes,No
